Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.5, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.2, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='xnor_case1_sagn', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=True)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 48.3784 s
# Params: 2233391
LR: 1.000e-03/ Epoch 260, Time(s): 1.3933 12.6289, Best Val loss: 0.7097, Accs: Train: 0.9137, Val: 0.8986, Test: 0.7574, Best Val: 0.8986, Best Test: 0.7574
LR: 1.000e-03/ Epoch 270, Time(s): 1.4808 12.2724, Best Val loss: 0.7089, Accs: Train: 0.9141, Val: 0.8996, Test: 0.7584, Best Val: 0.8996, Best Test: 0.7584
LR: 1.000e-03/ Epoch 280, Time(s): 1.4106 12.0593, Best Val loss: 0.7089, Accs: Train: 0.9145, Val: 0.8983, Test: 0.7628, Best Val: 0.8996, Best Test: 0.7584
LR: 1.000e-03/ Epoch 290, Time(s): 1.1500 12.6347, Best Val loss: 0.7010, Accs: Train: 0.9152, Val: 0.9006, Test: 0.7622, Best Val: 0.9006, Best Test: 0.7622
LR: 1.000e-03/ Epoch 300, Time(s): 1.2453 12.3201, Best Val loss: 0.7010, Accs: Train: 0.9151, Val: 0.8997, Test: 0.7623, Best Val: 0.9006, Best Test: 0.7622
LR: 1.000e-03/ Epoch 310, Time(s): 1.3993 12.3567, Best Val loss: 0.7010, Accs: Train: 0.9157, Val: 0.8996, Test: 0.7605, Best Val: 0.9006, Best Test: 0.7622
LR: 1.000e-03/ Epoch 320, Time(s): 1.2518 12.3080, Best Val loss: 0.6949, Accs: Train: 0.9162, Val: 0.9011, Test: 0.7625, Best Val: 0.9011, Best Test: 0.7625
LR: 1.000e-03/ Epoch 330, Time(s): 1.3606 11.9510, Best Val loss: 0.6949, Accs: Train: 0.9168, Val: 0.9009, Test: 0.7650, Best Val: 0.9011, Best Test: 0.7625
LR: 1.000e-03/ Epoch 340, Time(s): 1.3481 12.1476, Best Val loss: 0.6949, Accs: Train: 0.9161, Val: 0.9011, Test: 0.7652, Best Val: 0.9011, Best Test: 0.7625
LR: 1.000e-03/ Epoch 350, Time(s): 1.1969 12.4866, Best Val loss: 0.7038, Accs: Train: 0.9170, Val: 0.9015, Test: 0.7664, Best Val: 0.9015, Best Test: 0.7664
LR: 1.000e-03/ Epoch 360, Time(s): 1.1588 12.2925, Best Val loss: 0.7038, Accs: Train: 0.9169, Val: 0.9000, Test: 0.7639, Best Val: 0.9015, Best Test: 0.7664
LR: 1.000e-03/ Epoch 370, Time(s): 1.2162 12.2554, Best Val loss: 0.7038, Accs: Train: 0.9172, Val: 0.9010, Test: 0.7672, Best Val: 0.9015, Best Test: 0.7664
LR: 1.000e-03/ Epoch 380, Time(s): 1.3289 12.2991, Best Val loss: 0.6950, Accs: Train: 0.9174, Val: 0.9018, Test: 0.7674, Best Val: 0.9018, Best Test: 0.7674
LR: 1.000e-03/ Epoch 390, Time(s): 1.1749 12.9052, Best Val loss: 0.7106, Accs: Train: 0.9180, Val: 0.9024, Test: 0.7695, Best Val: 0.9024, Best Test: 0.7695
LR: 1.000e-04/ Epoch 400, Time(s): 1.2138 12.7245, Best Val loss: 0.7106, Accs: Train: 0.9174, Val: 0.9010, Test: 0.7679, Best Val: 0.9024, Best Test: 0.7695
LR: 1.000e-04/ Epoch 410, Time(s): 1.3463 11.8912, Best Val loss: 0.7106, Accs: Train: 0.9176, Val: 0.9005, Test: 0.7681, Best Val: 0.9024, Best Test: 0.7695
LR: 1.000e-04/ Epoch 420, Time(s): 1.3037 12.2525, Best Val loss: 0.7106, Accs: Train: 0.9186, Val: 0.9014, Test: 0.7664, Best Val: 0.9024, Best Test: 0.7695
LR: 1.000e-04/ Epoch 430, Time(s): 1.3884 12.1799, Best Val loss: 0.7106, Accs: Train: 0.9183, Val: 0.9021, Test: 0.7681, Best Val: 0.9024, Best Test: 0.7695
LR: 1.000e-04/ Epoch 440, Time(s): 1.2848 12.5786, Best Val loss: 0.7106, Accs: Train: 0.9188, Val: 0.9011, Test: 0.7671, Best Val: 0.9024, Best Test: 0.7695
LR: 1.000e-04/ Epoch 450, Time(s): 1.2180 13.4830, Best Val loss: 0.7106, Accs: Train: 0.9184, Val: 0.9013, Test: 0.7686, Best Val: 0.9024, Best Test: 0.7695
LR: 1.000e-04/ Epoch 460, Time(s): 1.3522 12.5561, Best Val loss: 0.6976, Accs: Train: 0.9189, Val: 0.9024, Test: 0.7682, Best Val: 0.9024, Best Test: 0.7682
LR: 1.000e-04/ Epoch 470, Time(s): 1.2969 12.0272, Best Val loss: 0.6964, Accs: Train: 0.9200, Val: 0.9031, Test: 0.7671, Best Val: 0.9031, Best Test: 0.7671
LR: 1.000e-04/ Epoch 480, Time(s): 1.3406 12.3670, Best Val loss: 0.6964, Accs: Train: 0.9179, Val: 0.9028, Test: 0.7695, Best Val: 0.9031, Best Test: 0.7671
LR: 1.000e-04/ Epoch 490, Time(s): 1.2628 13.2749, Best Val loss: 0.6964, Accs: Train: 0.9189, Val: 0.9028, Test: 0.7676, Best Val: 0.9031, Best Test: 0.7671
LR: 1.000e-04/ Epoch 500, Time(s): 1.1689 12.6255, Best Val loss: 0.6964, Accs: Train: 0.9194, Val: 0.9004, Test: 0.7692, Best Val: 0.9031, Best Test: 0.7671
LR: 1.000e-04/ Epoch 510, Time(s): 1.2728 12.4672, Best Val loss: 0.7013, Accs: Train: 0.9190, Val: 0.9032, Test: 0.7680, Best Val: 0.9032, Best Test: 0.7680
LR: 1.000e-04/ Epoch 520, Time(s): 1.1453 12.8119, Best Val loss: 0.7013, Accs: Train: 0.9191, Val: 0.9019, Test: 0.7690, Best Val: 0.9032, Best Test: 0.7680
LR: 1.000e-04/ Epoch 530, Time(s): 1.2502 12.5967, Best Val loss: 0.7013, Accs: Train: 0.9192, Val: 0.9023, Test: 0.7693, Best Val: 0.9032, Best Test: 0.7680
LR: 1.000e-04/ Epoch 540, Time(s): 1.1441 12.0975, Best Val loss: 0.6888, Accs: Train: 0.9187, Val: 0.9033, Test: 0.7648, Best Val: 0.9033, Best Test: 0.7648
LR: 1.000e-04/ Epoch 550, Time(s): 1.2411 11.7312, Best Val loss: 0.6888, Accs: Train: 0.9193, Val: 0.9025, Test: 0.7656, Best Val: 0.9033, Best Test: 0.7648
LR: 1.000e-04/ Epoch 560, Time(s): 1.1565 12.4010, Best Val loss: 0.6888, Accs: Train: 0.9185, Val: 0.9026, Test: 0.7673, Best Val: 0.9033, Best Test: 0.7648
LR: 1.000e-04/ Epoch 570, Time(s): 1.2661 13.4841, Best Val loss: 0.6888, Accs: Train: 0.9195, Val: 0.9024, Test: 0.7665, Best Val: 0.9033, Best Test: 0.7648
LR: 1.000e-04/ Epoch 580, Time(s): 1.1512 12.4465, Best Val loss: 0.6967, Accs: Train: 0.9191, Val: 0.9037, Test: 0.7681, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 590, Time(s): 1.2215 12.7193, Best Val loss: 0.6967, Accs: Train: 0.9191, Val: 0.9016, Test: 0.7680, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 600, Time(s): 1.2036 12.5488, Best Val loss: 0.6967, Accs: Train: 0.9190, Val: 0.9034, Test: 0.7665, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 610, Time(s): 1.1706 13.1370, Best Val loss: 0.6967, Accs: Train: 0.9189, Val: 0.9023, Test: 0.7674, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 620, Time(s): 1.1955 12.5268, Best Val loss: 0.6967, Accs: Train: 0.9194, Val: 0.9035, Test: 0.7693, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 630, Time(s): 1.1529 12.1820, Best Val loss: 0.6967, Accs: Train: 0.9190, Val: 0.9030, Test: 0.7688, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 640, Time(s): 1.1872 12.4912, Best Val loss: 0.6967, Accs: Train: 0.9193, Val: 0.9031, Test: 0.7637, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 650, Time(s): 1.1553 11.9259, Best Val loss: 0.6967, Accs: Train: 0.9187, Val: 0.9022, Test: 0.7675, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 660, Time(s): 1.1411 12.0097, Best Val loss: 0.6967, Accs: Train: 0.9190, Val: 0.9002, Test: 0.7649, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 670, Time(s): 1.2087 13.1491, Best Val loss: 0.6967, Accs: Train: 0.9180, Val: 0.9008, Test: 0.7672, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 680, Time(s): 1.1510 12.2751, Best Val loss: 0.6967, Accs: Train: 0.9187, Val: 0.9033, Test: 0.7678, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 690, Time(s): 1.1625 12.9670, Best Val loss: 0.6967, Accs: Train: 0.9187, Val: 0.9023, Test: 0.7673, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 700, Time(s): 1.2631 12.3323, Best Val loss: 0.6967, Accs: Train: 0.9199, Val: 0.9029, Test: 0.7665, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 710, Time(s): 1.1808 12.5373, Best Val loss: 0.6967, Accs: Train: 0.9195, Val: 0.9036, Test: 0.7681, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 720, Time(s): 1.1909 12.5605, Best Val loss: 0.6967, Accs: Train: 0.9186, Val: 0.9024, Test: 0.7663, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 730, Time(s): 1.1540 12.3500, Best Val loss: 0.6967, Accs: Train: 0.9187, Val: 0.9023, Test: 0.7671, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 740, Time(s): 1.1420 11.9253, Best Val loss: 0.6967, Accs: Train: 0.9190, Val: 0.9035, Test: 0.7656, Best Val: 0.9037, Best Test: 0.7681
LR: 1.000e-04/ Epoch 750, Time(s): 1.1444 12.8448, Best Val loss: 0.7023, Accs: Train: 0.9195, Val: 0.9042, Test: 0.7693, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-04/ Epoch 760, Time(s): 1.1419 11.7558, Best Val loss: 0.7023, Accs: Train: 0.9191, Val: 0.9021, Test: 0.7655, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-04/ Epoch 770, Time(s): 1.1591 12.2203, Best Val loss: 0.7023, Accs: Train: 0.9191, Val: 0.9036, Test: 0.7672, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-04/ Epoch 780, Time(s): 1.2954 13.3201, Best Val loss: 0.7023, Accs: Train: 0.9184, Val: 0.9016, Test: 0.7669, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-04/ Epoch 790, Time(s): 1.2226 13.4859, Best Val loss: 0.7023, Accs: Train: 0.9187, Val: 0.9011, Test: 0.7675, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 800, Time(s): 1.1977 11.9220, Best Val loss: 0.7023, Accs: Train: 0.9190, Val: 0.9014, Test: 0.7648, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 810, Time(s): 1.1919 11.6972, Best Val loss: 0.7023, Accs: Train: 0.9191, Val: 0.9026, Test: 0.7654, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 820, Time(s): 1.2727 13.2496, Best Val loss: 0.7023, Accs: Train: 0.9186, Val: 0.9017, Test: 0.7654, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 830, Time(s): 1.3016 13.5038, Best Val loss: 0.7023, Accs: Train: 0.9189, Val: 0.9011, Test: 0.7670, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 840, Time(s): 1.2152 11.9761, Best Val loss: 0.7023, Accs: Train: 0.9188, Val: 0.9018, Test: 0.7670, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 850, Time(s): 1.1026 11.6855, Best Val loss: 0.7023, Accs: Train: 0.9186, Val: 0.9020, Test: 0.7650, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 860, Time(s): 1.1266 11.3064, Best Val loss: 0.7023, Accs: Train: 0.9186, Val: 0.9030, Test: 0.7659, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 870, Time(s): 1.0936 11.2873, Best Val loss: 0.7023, Accs: Train: 0.9183, Val: 0.9023, Test: 0.7690, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 880, Time(s): 1.1076 11.3275, Best Val loss: 0.7023, Accs: Train: 0.9187, Val: 0.9032, Test: 0.7637, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 890, Time(s): 1.2170 12.8145, Best Val loss: 0.7023, Accs: Train: 0.9191, Val: 0.9024, Test: 0.7660, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 900, Time(s): 1.2062 13.5385, Best Val loss: 0.7023, Accs: Train: 0.9190, Val: 0.9027, Test: 0.7657, Best Val: 0.9042, Best Test: 0.7693
LR: 1.000e-05/ Epoch 910, Time(s): 1.1164 11.1895, Best Val loss: 0.7023, Accs: Train: 0.9190, Val: 0.9017, Test: 0.7674, Best Val: 0.9042, Best Test: 0.7693
