Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.5, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.2, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='sagn', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=True)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 50.1150 s
# Params: 2233391
LR: 1.000e-03/ Epoch 260, Time(s): 1.0419 13.1313, Best Val loss: 0.2748, Accs: Train: 0.9469, Val: 0.9244, Test: 0.8082, Best Val: 0.9244, Best Test: 0.8082
LR: 1.000e-03/ Epoch 270, Time(s): 1.2447 12.8501, Best Val loss: 0.2732, Accs: Train: 0.9475, Val: 0.9259, Test: 0.8089, Best Val: 0.9259, Best Test: 0.8089
LR: 1.000e-03/ Epoch 280, Time(s): 1.1568 12.5475, Best Val loss: 0.2732, Accs: Train: 0.9482, Val: 0.9253, Test: 0.8090, Best Val: 0.9259, Best Test: 0.8089
LR: 1.000e-03/ Epoch 290, Time(s): 1.1634 12.5158, Best Val loss: 0.2729, Accs: Train: 0.9489, Val: 0.9262, Test: 0.8082, Best Val: 0.9262, Best Test: 0.8082
LR: 1.000e-03/ Epoch 300, Time(s): 1.1520 12.1734, Best Val loss: 0.2729, Accs: Train: 0.9497, Val: 0.9259, Test: 0.8097, Best Val: 0.9262, Best Test: 0.8082
LR: 1.000e-03/ Epoch 310, Time(s): 1.0533 11.0972, Best Val loss: 0.2719, Accs: Train: 0.9503, Val: 0.9263, Test: 0.8098, Best Val: 0.9263, Best Test: 0.8098
LR: 1.000e-03/ Epoch 320, Time(s): 1.0433 11.5351, Best Val loss: 0.2712, Accs: Train: 0.9510, Val: 0.9263, Test: 0.8087, Best Val: 0.9263, Best Test: 0.8087
LR: 1.000e-03/ Epoch 330, Time(s): 1.0482 11.6682, Best Val loss: 0.2706, Accs: Train: 0.9517, Val: 0.9269, Test: 0.8109, Best Val: 0.9269, Best Test: 0.8109
LR: 1.000e-03/ Epoch 340, Time(s): 1.1432 12.6438, Best Val loss: 0.2706, Accs: Train: 0.9523, Val: 0.9266, Test: 0.8104, Best Val: 0.9269, Best Test: 0.8109
LR: 1.000e-03/ Epoch 350, Time(s): 1.1511 12.2177, Best Val loss: 0.2706, Accs: Train: 0.9527, Val: 0.9271, Test: 0.8097, Best Val: 0.9271, Best Test: 0.8097
