Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=0, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='sign', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 45.1824 s
# Params: 3483703
Epoch 300, Time(s): 1.3172 10.5231, Best Val loss: 0.2956, Accs: Train: 0.9597, Val: 0.9274, Test: 0.8049, Best Val: 0.9274, Best Test: 0.8049
Epoch 310, Time(s): 1.4279 10.7389, Best Val loss: 0.2949, Accs: Train: 0.9605, Val: 0.9275, Test: 0.8053, Best Val: 0.9275, Best Test: 0.8053
Epoch 320, Time(s): 1.3781 9.5851, Best Val loss: 0.2956, Accs: Train: 0.9610, Val: 0.9277, Test: 0.8054, Best Val: 0.9277, Best Test: 0.8054
Epoch 330, Time(s): 1.4494 10.0580, Best Val loss: 0.2965, Accs: Train: 0.9621, Val: 0.9283, Test: 0.8054, Best Val: 0.9283, Best Test: 0.8054
Epoch 340, Time(s): 1.2796 9.5583, Best Val loss: 0.2965, Accs: Train: 0.9627, Val: 0.9281, Test: 0.8059, Best Val: 0.9283, Best Test: 0.8054
Epoch 350, Time(s): 1.4074 10.7676, Best Val loss: 0.2965, Accs: Train: 0.9634, Val: 0.9279, Test: 0.8047, Best Val: 0.9283, Best Test: 0.8054
Epoch 360, Time(s): 1.2863 9.6465, Best Val loss: 0.3000, Accs: Train: 0.9641, Val: 0.9286, Test: 0.8048, Best Val: 0.9286, Best Test: 0.8048
Epoch 370, Time(s): 1.2644 9.9464, Best Val loss: 0.3000, Accs: Train: 0.9646, Val: 0.9285, Test: 0.8061, Best Val: 0.9286, Best Test: 0.8048
Epoch 380, Time(s): 1.3799 9.6023, Best Val loss: 0.3000, Accs: Train: 0.9654, Val: 0.9282, Test: 0.8053, Best Val: 0.9286, Best Test: 0.8048
Epoch 390, Time(s): 1.3932 9.8846, Best Val loss: 0.3000, Accs: Train: 0.9660, Val: 0.9285, Test: 0.8047, Best Val: 0.9286, Best Test: 0.8048
Epoch 400, Time(s): 1.2670 9.7614, Best Val loss: 0.3000, Accs: Train: 0.9666, Val: 0.9284, Test: 0.8044, Best Val: 0.9286, Best Test: 0.8048
Epoch 410, Time(s): 1.3757 10.7575, Best Val loss: 0.3000, Accs: Train: 0.9671, Val: 0.9284, Test: 0.8064, Best Val: 0.9286, Best Test: 0.8048
Epoch 420, Time(s): 1.2789 9.7041, Best Val loss: 0.3000, Accs: Train: 0.9677, Val: 0.9285, Test: 0.8054, Best Val: 0.9286, Best Test: 0.8048
Epoch 430, Time(s): 1.3476 9.5893, Best Val loss: 0.3061, Accs: Train: 0.9683, Val: 0.9286, Test: 0.8056, Best Val: 0.9286, Best Test: 0.8056
Epoch 440, Time(s): 1.2454 9.5417, Best Val loss: 0.3079, Accs: Train: 0.9688, Val: 0.9290, Test: 0.8067, Best Val: 0.9290, Best Test: 0.8067
Epoch 450, Time(s): 1.2752 9.9266, Best Val loss: 0.3079, Accs: Train: 0.9694, Val: 0.9288, Test: 0.8058, Best Val: 0.9290, Best Test: 0.8067
Epoch 460, Time(s): 1.2694 9.4018, Best Val loss: 0.3079, Accs: Train: 0.9694, Val: 0.9286, Test: 0.8048, Best Val: 0.9290, Best Test: 0.8067
Epoch 470, Time(s): 1.4693 9.8816, Best Val loss: 0.3079, Accs: Train: 0.9702, Val: 0.9287, Test: 0.8053, Best Val: 0.9290, Best Test: 0.8067
Epoch 480, Time(s): 1.3934 10.1504, Best Val loss: 0.3079, Accs: Train: 0.9708, Val: 0.9283, Test: 0.8067, Best Val: 0.9290, Best Test: 0.8067
Epoch 490, Time(s): 1.4078 10.4860, Best Val loss: 0.3079, Accs: Train: 0.9712, Val: 0.9284, Test: 0.8050, Best Val: 0.9290, Best Test: 0.8067
Epoch 500, Time(s): 1.2670 9.6660, Best Val loss: 0.3079, Accs: Train: 0.9714, Val: 0.9282, Test: 0.8058, Best Val: 0.9290, Best Test: 0.8067
Epoch 510, Time(s): 1.3438 10.0736, Best Val loss: 0.3079, Accs: Train: 0.9718, Val: 0.9287, Test: 0.8050, Best Val: 0.9290, Best Test: 0.8067
Epoch 520, Time(s): 1.3909 10.3690, Best Val loss: 0.3079, Accs: Train: 0.9724, Val: 0.9283, Test: 0.8048, Best Val: 0.9290, Best Test: 0.8067
Epoch 530, Time(s): 1.2748 9.7348, Best Val loss: 0.3079, Accs: Train: 0.9729, Val: 0.9287, Test: 0.8046, Best Val: 0.9290, Best Test: 0.8067
Epoch 540, Time(s): 1.3941 10.3638, Best Val loss: 0.3079, Accs: Train: 0.9738, Val: 0.9281, Test: 0.8046, Best Val: 0.9290, Best Test: 0.8067
Epoch 550, Time(s): 1.2834 10.1870, Best Val loss: 0.3185, Accs: Train: 0.9738, Val: 0.9291, Test: 0.8051, Best Val: 0.9291, Best Test: 0.8051
Epoch 560, Time(s): 1.3700 10.2351, Best Val loss: 0.3185, Accs: Train: 0.9745, Val: 0.9287, Test: 0.8052, Best Val: 0.9291, Best Test: 0.8051
Epoch 570, Time(s): 1.2808 9.7184, Best Val loss: 0.3185, Accs: Train: 0.9746, Val: 0.9281, Test: 0.8040, Best Val: 0.9291, Best Test: 0.8051
Epoch 580, Time(s): 1.3153 9.9226, Best Val loss: 0.3185, Accs: Train: 0.9750, Val: 0.9281, Test: 0.8051, Best Val: 0.9291, Best Test: 0.8051
Epoch 590, Time(s): 1.3011 10.0780, Best Val loss: 0.3185, Accs: Train: 0.9753, Val: 0.9280, Test: 0.8036, Best Val: 0.9291, Best Test: 0.8051
Epoch 600, Time(s): 1.4445 11.0408, Best Val loss: 0.3185, Accs: Train: 0.9760, Val: 0.9278, Test: 0.8050, Best Val: 0.9291, Best Test: 0.8051
Epoch 610, Time(s): 1.3767 10.0726, Best Val loss: 0.3185, Accs: Train: 0.9764, Val: 0.9287, Test: 0.8058, Best Val: 0.9291, Best Test: 0.8051
Epoch 620, Time(s): 1.3718 9.6827, Best Val loss: 0.3185, Accs: Train: 0.9765, Val: 0.9285, Test: 0.8042, Best Val: 0.9291, Best Test: 0.8051
Epoch 630, Time(s): 1.3275 9.5352, Best Val loss: 0.3185, Accs: Train: 0.9768, Val: 0.9289, Test: 0.8060, Best Val: 0.9291, Best Test: 0.8051
Epoch 640, Time(s): 1.2716 9.8033, Best Val loss: 0.3185, Accs: Train: 0.9772, Val: 0.9286, Test: 0.8043, Best Val: 0.9291, Best Test: 0.8051
Epoch 650, Time(s): 1.3282 9.8084, Best Val loss: 0.3185, Accs: Train: 0.9777, Val: 0.9283, Test: 0.8052, Best Val: 0.9291, Best Test: 0.8051
Epoch 660, Time(s): 1.4985 9.8756, Best Val loss: 0.3185, Accs: Train: 0.9778, Val: 0.9286, Test: 0.8061, Best Val: 0.9291, Best Test: 0.8051
Epoch 670, Time(s): 1.2893 9.8024, Best Val loss: 0.3185, Accs: Train: 0.9782, Val: 0.9290, Test: 0.8051, Best Val: 0.9291, Best Test: 0.8051
Epoch 680, Time(s): 1.3514 10.2666, Best Val loss: 0.3185, Accs: Train: 0.9786, Val: 0.9288, Test: 0.8043, Best Val: 0.9291, Best Test: 0.8051
Epoch 690, Time(s): 1.4950 9.5872, Best Val loss: 0.3185, Accs: Train: 0.9785, Val: 0.9286, Test: 0.8043, Best Val: 0.9291, Best Test: 0.8051
Epoch 700, Time(s): 1.2838 9.8078, Best Val loss: 0.3401, Accs: Train: 0.9786, Val: 0.9292, Test: 0.8045, Best Val: 0.9292, Best Test: 0.8045
Epoch 710, Time(s): 1.4065 9.5763, Best Val loss: 0.3401, Accs: Train: 0.9793, Val: 0.9292, Test: 0.8032, Best Val: 0.9292, Best Test: 0.8045
Epoch 720, Time(s): 1.3529 10.7545, Best Val loss: 0.3401, Accs: Train: 0.9799, Val: 0.9290, Test: 0.8033, Best Val: 0.9292, Best Test: 0.8045
Epoch 730, Time(s): 1.4596 10.8564, Best Val loss: 0.3401, Accs: Train: 0.9800, Val: 0.9282, Test: 0.8043, Best Val: 0.9292, Best Test: 0.8045
Epoch 740, Time(s): 1.4855 11.0899, Best Val loss: 0.3401, Accs: Train: 0.9804, Val: 0.9289, Test: 0.8041, Best Val: 0.9292, Best Test: 0.8045
Epoch 750, Time(s): 1.4106 10.4952, Best Val loss: 0.3401, Accs: Train: 0.9805, Val: 0.9290, Test: 0.8030, Best Val: 0.9292, Best Test: 0.8045
Epoch 760, Time(s): 1.3776 10.9722, Best Val loss: 0.3401, Accs: Train: 0.9805, Val: 0.9284, Test: 0.8030, Best Val: 0.9292, Best Test: 0.8045
Epoch 770, Time(s): 1.3354 9.6066, Best Val loss: 0.3401, Accs: Train: 0.9811, Val: 0.9290, Test: 0.8039, Best Val: 0.9292, Best Test: 0.8045
Epoch 780, Time(s): 1.3868 10.3116, Best Val loss: 0.3401, Accs: Train: 0.9817, Val: 0.9290, Test: 0.8041, Best Val: 0.9292, Best Test: 0.8045
Epoch 790, Time(s): 1.3375 9.8553, Best Val loss: 0.3480, Accs: Train: 0.9817, Val: 0.9295, Test: 0.8040, Best Val: 0.9295, Best Test: 0.8040
Epoch 800, Time(s): 1.3675 10.5306, Best Val loss: 0.3480, Accs: Train: 0.9819, Val: 0.9289, Test: 0.8035, Best Val: 0.9295, Best Test: 0.8040
Epoch 810, Time(s): 1.3637 10.7476, Best Val loss: 0.3480, Accs: Train: 0.9824, Val: 0.9291, Test: 0.8032, Best Val: 0.9295, Best Test: 0.8040
Epoch 820, Time(s): 1.5552 10.7844, Best Val loss: 0.3480, Accs: Train: 0.9825, Val: 0.9289, Test: 0.8042, Best Val: 0.9295, Best Test: 0.8040
Epoch 830, Time(s): 1.2545 10.8719, Best Val loss: 0.3480, Accs: Train: 0.9828, Val: 0.9287, Test: 0.8041, Best Val: 0.9295, Best Test: 0.8040
Epoch 840, Time(s): 1.4913 10.8861, Best Val loss: 0.3480, Accs: Train: 0.9831, Val: 0.9288, Test: 0.8024, Best Val: 0.9295, Best Test: 0.8040
Epoch 850, Time(s): 1.2694 10.2829, Best Val loss: 0.3480, Accs: Train: 0.9833, Val: 0.9289, Test: 0.8019, Best Val: 0.9295, Best Test: 0.8040
Epoch 860, Time(s): 1.3611 9.9649, Best Val loss: 0.3480, Accs: Train: 0.9832, Val: 0.9290, Test: 0.8036, Best Val: 0.9295, Best Test: 0.8040
Epoch 870, Time(s): 1.3742 10.7632, Best Val loss: 0.3480, Accs: Train: 0.9835, Val: 0.9290, Test: 0.8037, Best Val: 0.9295, Best Test: 0.8040
Epoch 880, Time(s): 1.4255 9.9826, Best Val loss: 0.3604, Accs: Train: 0.9835, Val: 0.9297, Test: 0.8038, Best Val: 0.9297, Best Test: 0.8038
Epoch 890, Time(s): 1.3724 10.2365, Best Val loss: 0.3596, Accs: Train: 0.9838, Val: 0.9299, Test: 0.8031, Best Val: 0.9299, Best Test: 0.8031
Epoch 900, Time(s): 1.4091 9.8805, Best Val loss: 0.3596, Accs: Train: 0.9839, Val: 0.9292, Test: 0.8034, Best Val: 0.9299, Best Test: 0.8031
Epoch 910, Time(s): 1.2805 10.0292, Best Val loss: 0.3596, Accs: Train: 0.9843, Val: 0.9292, Test: 0.8033, Best Val: 0.9299, Best Test: 0.8031
